ที่	tʰîː	at	เขาได้รับรางวัลที่ 1 ในการประกวดวาดภาพ
หรือ	rɯ̌ː	or	ในช่วงเวลาตั้งแต่พุทธศตวรรษที่ 16 ลงมาเมืองละโว้ หรือลพบุรีเป็นนครใหญ่ ที่มีความรุ่งเรืองกว่าบรรดาเมืองอื่นๆ
เพราะ	pʰrɔ́ʔ	because	รัฐบาลตัดสินใจสลายการชุมนุมอย่างรวดเร็ว เพราะหากปล่อยให้ยืดเยื้อย่อมกระทบต่อการลงทุนของต่างชาติ
เวลา	weː laː	time	การวิจารณ์ไม่ว่าจะใช้ในเวลาใดก็ตามต้องมีลักษณะสร้างสรรค์มิใช่ทำลาย
ยัง	jaŋ	still	สุนัขเป็นเพื่อนที่ซื่อสัตย์ใกล้ชิดกับคนแถมยังมีประโยชน์เฝ้าบ้านได้เวลาไม่มีใครอยู่
ทำ	tʰam	do	ประชาชนทุกคนมีหน้าที่ทำตามกฎหมาย
เห็น	hěn	see	เขาได้เห็นชีวิตมาทุกแง่ทุกมุมแล้ว
เข้า	kʰâw	enter	รถประจำทางจะเข้ามาที่สถานีตรงเวลาทุกวัน
ชั้น	tɕʰán	layer; level; grade	ศาลชั้นต้นได้พิจารณาคดีแล้วเมื่อเช้านี้
ซึ่ง	sɯ̂ŋ	which	เราต้องการหนังสือซึ่งใช้อ้างอิงได้
ลง	loŋ	down	ในเช้าวันรุ่งขึ้นก่อนที่เขาจะกลับบ้าน หมอกลงหนาทึบจนมองไม่เห็นแม่น้ำ
ถ้า	tʰâː	if	ถ้าฉันเป็นมหาเศรษฐี ฉันจะไปเที่ยวรอบโลกทุกปี
ตัว	tuːa	body	ตัวจะไปเที่ยวกับพวกเราไหม
ใช้	tɕʰáj	use	ยานยนต์ทุกชนิดจำเป็นต้องใช้เชื้อเพลิง
ตาม	taːm	follow; acccording	ตำรวจตามคนร้ายไปยังป่าทึบ
บาง	baːŋ	some; thin	แต่ก่อนต้องพายเรือจากบางหนึ่งไปบางหนึ่ง ใช้เวลาเป็นวันเลยทีเดียว
อีก	ʔìːk	more	คุณควรถอยฉากออกไปตั้งหลัก คิดหาแนวทางใหม่ ก่อนจะกลับมาอีกครั้งพร้อมกับความสำเร็จ
ทำให้	tʰam hâj	make	การตากฝนทำให้เป็นหวัดได้
ทาง	tʰaːŋ	way; direction	หากเขายังเกียจคร้านอยู่อย่างนี้ เขาไม่มีทางจะสำเร็จได้
แบบ	bɛ̀ːp	model; style	การคลอดแบบโบราณนั้นทำกันที่บ้าน ทำในห้องต่อหน้าสามี
ออก	ʔɔ̀ːk	exit	รัฐบาลออกบัตรประชาชนให้ประชาชนทุกคน
ที่สุด	tʰîː sùt	most	รัฐมนตรีคลังเป็นผู้ทรงอิทธิพลมากที่สุดในคณะรัฐมนตรีชุดนี้
เรา	raw	we; us	เราคิดว่าอาจารย์ไม่น่าจะว่างนะ
โดย	doːj	by	เขาทำไป โดยรู้เท่าไม่ถึงการณ์
ดี	diː	good	คนป่วยมีสุขภาพดีขึ้นหลังจากได้พักเป็นระยะเวลานาน
เพื่อ	pʰɯ̂ːa	for	ผู้ควบคุมจำเป็นต้องปิดเครือข่าย และสถานีงานทั้งหมด เพื่อทำให้ระบบกลับคืนสู่สภาพปกติ
จึง	tɕɯŋ	therefore	เมื่อทำงานเสร็จ พนักงานจึงกลับบ้าน
ต่อ	tɔ̀ː	to; connector; per	พ่อกับลูกช่วยกันต่อกรงสุนัขใหม่ให้ใหญ่ขึ้น
ครั้ง	kʰráŋ	time	เรามาดูภาพยนต์ที่นี่เป็นครั้งที่ 5 แล้ว
เขา	kʰǎw	he	ที่บ้านสวนพ่อจะเลี้ยงนกเขาไว้ดูเล่นแก้เหงา
หลาย	lǎːj	many	ในปีนี้จะมีการประชุมระหว่างประเทศที่กรุงเทพฯ หลายครั้ง
ผู้	pʰûː	person	เขาจะไม่ปล่อยให้ผู้กระทำผิดลอยนวลไปได้แน่นอน
ทุก	tʰúk	each	ประชาชนทุกคนควรไปเลือกตั้ง
น้อย	nɔ́ːj	little	เขาหยิบเนื้ออันน้อยส่งให้เด็กชายที่ยืนอยู่ข้างโต๊ะ
คือ	kʰɯː	is	ผู้จัดการฝ่ายการตลาดคือผู้ที่ได้รับคัดเลือกให้เป็นพนักงานดีเด่น
หาก	hàːk	if	แม้ประเทศจะมีถนนดีๆ หากคนใช้ไม่มีคุณภาพ บ้านเมืองจะพัฒนาได้ยาก
เกิด	kɤ̀ːt	born	แผ่นดิสก์ยังคงหมุนอยู่ด้วยแรงเฉื่อยซึ่งก็ยังเร็วพอที่จะเกิดแรงยกตัวสำหรับหัวอ่าน
ปี	piː	year	เครือข่ายคอมพิวเตอร์เป็นสิ่งใหม่เริ่มมีใช้ครั้งแรกในปี 1969
งาน	ŋaːn	work; festival	เย็นนี้จะมีงานแต่งงานที่โรงแรมรีเจนท์ อย่าพยายามไปแถวนั้นเด็ดขาดรถติดแน่นอน
ใหม่	màj	new	บ้านนี้เพิ่งทาสีใหม่ๆ
ตั้ง	tâŋ	set	นักกีฬาที่ได้เหรียญทองจากซีเกมส์จะได้รับเงินรางวัลตั้งหนึ่งแสนบาท
ส่วน	sùːan	section	อาหารจานแค่นี้ ใส่น้ำตาลแค่เศษหนึ่งส่วนสี่ช้อนก็พอ
รับ	ráp	receive	เขารับองค์พระจากหลวงพี่ที่ปลุกเสกแล้วอย่างระมัดระวัง
แรก	rɛ̂ːk	first	นักท่องเที่ยวบางคนเพิ่งเคยมาเที่ยวภูเก็ตครั้งแรก จึงรู้สึกตื่นเต้นกับความสวยงามของทัศนียภาพ
พระ	pʰráʔ	monk	เมื่อเราไปวัด เรามักจะพบว่าในโบสถ์จะมีพระพุทธรูปขนาดใหญ่เป็นพระประทาน 1 องค์
ทำงาน	tʰam ŋaːn	work	เขาทำงานรักษาคนที่มีอาการผิดปกติทางจิต
วัน	wan	day	ผู้นำฝ่ายค้านคาดว่าแต่ละวันแต่นี้ไปสถานการณ์จะรุนแรงกว่านี้
ช่วย	tɕʰûaj	help	หากทุกคนในหมู่บ้านช่วยกัน ก็คงจะสำเร็จในไม่ช้านี้
เพียง	pʰiːaŋ	only	ร่างกายต้องการสังกะสีจากอาหารเพียงวันละ 10-15 มิลลิกรัม
อาจ	ʔàːt	may	พิษในน้ำมันละหุ่งนั้นอาจแยกออกได้
ขนาด	kʰà nàːt	size	การออกแบบวงจรไฟฟ้าขนาดจิ๋ว ช่วยประหยัดต้นทุนได้มาก
อื่น	ʔɯ̀ːn	another	ตำรวจให้ความเห็นว่าสาเหตุของคดีนี้น่าจะเป็นการชิงทรัพย์มากกว่าประเด็นอื่น
นัก	nák	very; extremely	ช่วงฤดูหนาวที่เชียงใหม่จะมีอากาศหนาวนัก
เริ่ม	rɤ̂ːm	begin	โครงการวิจัยของสำนักงานวิจัยเริ่มใหม่ในปี 2544
เด็ก	dèk	child	เขาบอกว่าลูกชายเป็นเด็กดี ไม่รู้เหมือนกันว่ามาเกี่ยวข้องกับคดีนี้ได้อย่างไร
ชีวิต	tɕʰiː wít	life	ชีวิตของคนกรุงเทพฯ ต้องดิ้นรนต่อสู้กับมลพิษที่เพิ่มปริมาณขึ้นทุกวัน
สูง	sǔːŋ	high	นักวิจัยพบว่า บุคคลที่มีความวิตกกังวลสูง จะมีความคิดริเริ่มสร้างสรรค์ต่ำ
ก่อน	kɔ̀ːn	before	รูปนี้เขาไม่เคยเห็นมาก่อนเลย
เปลี่ยน	plìːan	change	ร่างกายจะเปลี่ยนโปรตีนส่วนเกินให้เป็นไขมัน
ต่าง	tàːŋ	different	เขาบรรทุกของลงต่างบนหลังวัว เตรียมออกเดินทาง
ต่อไป	tɔ̀ː paj	next	หากบุคคลได้รับการตองสนองความรักแล้วสิ่งที่เขาต้องการต่อไปก็คือการได้รับการยกย่องมีชื่อเสียง
ดู	duː	look at; examine	กลับมาบ้านคราวนี้ ลูกดูมีน้ำเนื้อมีหนังมากขึ้น
แห่ง	hɛ̀ŋ	location; place; spot	พื้นที่ป่าแห่งนี้มีวัตถุประสงค์มุ่งที่จะจัดทำให้เป็นที่อยู่อาศัยของสัตว์ป่าโดยตรง
ใหญ่	jàj	large	บ้านใหม่ของเขาใหญ่มาก ใช้งบในการสร้างเกือบสิบล้าน
หา	hǎː	find	หนุ่มน้อยหาเศษสตางค์ในกระเป๋าแล้วหยิบยื่นให้ตาแป๊ะ
สำหรับ	sǎm ràp	for	คณะครุศาสตร์มีห้องปฏิบัติการทางจิตวิทยาที่เหมาะมากสำหรับการสอนวิชาจิตวิทยา
ผม	pʰǒm	I (mostly male); hair (on head)	ผมกระหายน้ำมาก
กลาง	klaːŋ	middle; center	ฉันคิดว่าจะไปศึกษาต่อในช่วงกลางปีหน้า
ก็ได้	kɔ̂ː dâj	it is alright to	ถ้าเธอจะตามฉันไปก็ได้
ด้าน	dâːn	side	สามเหลี่ยมด้านเท่ามีทุกด้านยาวเท่ากัน
คุณ	kʰun	you	เขาลืมสิ้นถึงคุณของข้าวแดงแกงร้อนจากชายคาบ้านที่เขาเคยอาศัยอยู่
นอก	nɔ̂ːk	out	พ่ออยู่นอกบ้านต้องตะโกนเรียกถึงจะได้ยิน
เดียว	diːaw	single; one	มีนักบินเพียงคนเดียวที่รอดชีวิต
เมือง	mɯːaŋ	city	ทิวทัศน์ของเมืองนี้สวยงามมีมนต์ขลัง น่าหลงใหลมากทีเดียว
สิ่ง	sìŋ	thing	ในภาคใต้นี้เงินมีส่วนสำคัญเพราะข้าวปลาอาหารเป็นสิ่งที่ต้องซื้อหาทั้งสิ้นไม่สามารถปลูกได้พอกินเช่นภาคอื่นๆ
ทรง	soŋ	style, hairdo	เฮลิคอปเตอร์ทรงตัวอยู่ในอากาศได้โดยอาศัยแรงยกจากปีกทั้งสองข้าง
ตัด	tàt	cut	เธอตัดเสื้อผ้าชุดนี้ด้วยฝีมือเธอเอง
นำ	nam	lead	เราต้องนำคำนี้ไปวางไว้หน้าประโยคเพื่อต้องการเน้นความ
ผิด	pʰìt	wrong	หากผมทำผิดจริงผมก็จะยอมให้บริษัทตัดเงินเดือน
เสีย	sǐːa	waste	กินเสีย จะได้รีบไป
เอา	ʔaw	take; want	ถึงตอนนี้เราต้องยักย้ายถ่ายเทเพื่อเอาตัวรอดแล้ว
จน	tɕon	until	กายกับจิตมีความสัมพันธ์กันอย่างใกล้ชิดจนไม่อาจแยกออกเป็นอิสระจากกันได้
คิด	kʰít	think	นักภูมิศาสตร์จากบริษัทสำรวจทางอากาศคิดว่าการใช้คอมพิวเตอร์จะช่วยให้งานนี้สำเร็จได้เร็วขึ้นและประหยัด
เลย	lɤːj	therefore; …at all	รถเมล์เลยป้ายไปตั้งไกลจนผู้โดยสารต้องเดินกลับมาเอง
เท่านั้น	tʰâw nán	only	มีเพียงเขาเท่านั้นที่ใส่ชุดสุภาพมางานนี้
นับ	náp	count	สุเทพไม่นับว่าสุชาติเป็นญาติเพราะเขาทำตัวไม่ดี
ผ่าน	pʰàːn	pass	กระเป๋าใบนี้ผ่านมือมาหลายคนแล้ว
ตอน	tɔːn	when; during	หนังสือเล่มนี้แบ่งออกเป็น 2 ตอน ตอนแรกเป็นภาษาไทย ตอนที่สองเป็นภาษาอังกฤษ
ตั้งแต่	tâŋ tɛ̀ː	since	ครอบครัวของเขาไปอยู่ต่างประเทศตั้งแต่เขาอายุ 7 ปี
เรียก	rîːak	call	ผมเรียกจนแสบคอ เธอก็ยังไม่หันมา
สามารถ	sǎː mâːt	be able	เขาสามารถรักษาแชมป์ไว้ได้ 4 สมัย เป็นประวัติการณ์
ชื่อ	tɕʰɯ̂ː	name	ชื่อของหล่อนแปลว่าดอกไม้
เอง	ʔeːŋ	only; alone; just	พ่อแม่มักจะไม่ค่อยปล่อยให้ลูกๆ อยู่บ้านกันเองตามลำพัง
ประเทศ	pràʔ tʰêːt	country	เธอยอมเดินทางกลับประเทศเพื่อสู้คดีต่างๆ
ภาพ	pʰâːp	image	ความคิดคือความสามารถของมนุษย์ที่จะวาดภาพถึงอะไรๆ ได้ โดยไม่ต้องมีวัตถุจริงๆ มาปรากฏ
นอกจาก	nɔ̂ːk tɕàːk	in addition to	วินัยคงจะไม่สูงกว่านี้อีกแล้วนอกจากจะมีปาฏิหาริย์
อ่าน	ʔàːn	read	ในอนาคต เราคงจะมีโอกาสได้เห็นหุ่นยนต์ที่พูด อ่าน เขียนและคิด ได้เฉกเช่นมนุษย์
เคย	kʰɤːj	ever	เขาเคยไปมาแล้วทุกแห่งหนในประเทศไทย
อะไร	ʔàʔ raj	what	ปัจจุบันนี้ในกระทรวงศึกษาธิการ  อะไรก็สามารถเกิดขึ้นได้ทั้งนั้น
กลับ	klàp	return	เมื่องานเลี้ยงเลิกต่างก็แยกย้ายกันกลับบ้าน
ขอ	kʰɔ̌ː	ask	เขาค่อยๆ เคลื่อนตัวลงสู่ผิวน้ำพร้อมกับมือซ้ายถือขอแน่น
โลก	lôːk	world	ชาวกรีกโบราณเชื่อว่าโลกที่เราอยู่ประกอบด้วยธาตุทั้ง 4 คือ ดิน น้ำ ลม ไฟ
เดิม	dɤːm	original; before	แต่เดิมเราผลิตสินค้าได้น้อยมาก เพราะยังไม่มีเทคโนโลยีรองรับเพียงพอ
ได้รับ	dâj ráp	receive	เขาได้รับเงินรางวัลจำนวนมากมาย
น้ำ	náːm	water	พวกเราก่อกองไฟอยู่ตรงริมน้ำ แล้วกางเต็นท์ห่างออกไปประมาณ 2 เมตร
อย่างไร	jàːŋ raj	how	ความงามความดีมนุษย์ สร้างขึ้นมาได้อย่างไร
ยิ่ง	jîŋ	more	การถ่ายทอดอารมณ์ให้กับภาพนั้นเป็นสิ่งสำคัญยิ่ง
ฝ่าย	fàːj	party; side	การทำให้เครื่องใหม่ครอบคลุมรุ่นเก่านั้น มีประโยชน์ด้วยกันทุกฝ่าย
บ้าน	bâːn	home	ประชากรไทยที่มีคอมพิวเตอร์ใช้ในบ้านเพิ่มจำนวนมากขึ้นทุกๆ วัน
คำ	kʰam	word	เสียงของแต่ละคนนั้นพูดแต่ละครั้งจะไม่เหมือนกัน แม้จะพูดคำเดียวกันหรือประโยคเดียวกันก็ตาม
พบ	pʰóp	meet; find	นักเรียนใหม่พบอาจารย์ที่ปรึกษาในวันเปิดภาคเรียน
เข้าใจ	kʰâw tɕaj	understand	ถ้าเธอเข้าใจเธอก็สามารถทำข้อสอบได้ ไม่ว่าจะออกมาในรูปแบบไหน
อัน	ʔan	piece (classifier)	ปัญหานี้เป็นปัญหาที่สำคัญที่สุดอันหนึ่งในการออกแบบโปรแกรม
ส่ง	sòŋ	send	สถาปนิกกลุ่มนี้ส่งแบบแปลนถึงกันและกันผ่านทางสายโทรศัพท์
ที่อยู่	tʰîː jùː	address	ผู้ที่จะรับ-ส่งจดหมายอิเล็กทรอนิกส์ได้จะต้องมีที่อยู่หรือที่เรียกว่า e-mail address เสียก่อน
มัน	man	it	บ้านฉันที่อิสานปลูกมันไว้เป็นแถวๆ เอาหัวมันมาปรุงอาหารได้
ถือ	tʰɯ̌ː	hold	ทั้งๆ ที่หล่อนถือของพะรุงพะรัง แต่ก็ไม่มีใครมีน้ำใจที่จะช่วยหล่อน
แม้	mɛ́ː	even	แม้เรื่องของป่าไม้ที่ดินจะไม่ใช่ปัญหาใหญ่แต่ก็มีการลุกลามในหลายพื้นที่
ควร	kʰuːan	should	นักศึกษาควรใช้เวลาว่างจากการเรียนให้เป็นประโยชน์
กำลัง	kam laŋ	power	ลำต้นไม้ต้นหนึ่งมีกำลังสิบอ้อมแขน
ปัญหา	pan hǎː	problem	เมื่อดิสเกตต์มีปัญหาจะมีใครที่ช่วยแก้ปัญหาให้เราได้บ้าง
ยก	jók	lift; raise	เมื่อต้องการแสดงความคิดเห็นทุกคนต้องยกมือ
น่า	nâː	ought to	พิธีกรน่าพูดให้เกียรติแขกรับเชิญมากกว่านี้
ต้น	tôn	beginning	ต้นไม้ต้นใดที่มีต้นแข็งแรงก็สามารถจะนำมาต่อกิ่งได้
รู้	rúː	know	เดี๋ยวนี้เรารู้แล้วว่าความเชื่อเช่นนั้นไร้สาระ
เหมือน	mɯ̌ːan	as; like	อุตสาหกรรมของสหรัฐอเมริกากำลังถูกบีบจากต่างชาติ เหมือนลูกนกในกำมือ
เท่า	tʰâw	as much as; times (size)	อำนาจของโลกคอมมิวนิสต์ก็เกือบจะเท่ากับอำนาจของโลกฝ่ายตะวันตก
บน	bon	on	นักเรียนมักมาบนพระพรหมเอราวัณไว้ว่าขอให้สอบเข้ามหาวิทยาลัยได้
พยายาม	pʰá jaː jaːm	attempt	เด็กอาจแสดงพฤติกรรมหลายอย่างเพื่อพยายามเรียกร้องความเอาใจใส่และความรักจากพ่อแม่
จริง	tɕiŋ	real	ภาพยนตร์เรื่องนี้วิเศษจริง แต่มันทำให้ชาวบ้านเข้าใจผิดคิดว่าคอมพิวเตอร์ทำได้ทุกสิ่งทุกอย่าง
สร้าง	sâːŋ	create	ฮาร์ดดิสก์ดิสก์ประเภทนี้สร้างความปั่นป่วนให้แก่วงการคอมพิวเตอร์เป็นอย่างมาก
ร่วม	rûːam	join	กองทัพอากาศสหรัฐได้ทำโครงการร่วมกับบริษัทยักษ์ใหญ่ราว 20 แห่ง
บอก	bɔ̀ːk	tell	คุณยายบอกอาการให้หมอฟังอย่างละเอียด
ตลอด	tà lɔ̀ːt	throughout; always	คนที่นั่งทำงานอยู่ตลอดจะมีอาการของการปวดเมื่อยคอ หลัง และแขน
เช่น	tɕʰên	like	เขาทำตัวเช่นพระเอก
หนังสือ	nǎŋ sɯ̌ː	book	โรงเรียนมีหนังสือไปถึงผู้ปกครองนักเรียน เพื่อให้มาร่วมประชุม
ละ	láʔ	each	ธนาคารได้ออกบัตรเอทีเอ็มให้กับสามีภรรยาคู่นี้คนละใบ
ท่าน	tʰân	you (polite)	ก่อนที่ท่านจะเผชิญหน้ากับเหตุการณ์อันน่าสะพรึงกลัว ท่านจำเป็นต้องติดอาวุธให้ตัวเองเสียก่อน
ไม่ว่า	mâj wâː	regardless of; no matter what	ไม่ว่าหล่อนจะจ้างวานอย่างไร เขาก็ไม่ยอมกระดิกกระเดี้ย
เก็บ	kèp	store; put away	เมื่อหยิบหนังสือมาจากชั้น ควรนำไปเก็บไว้ที่ชั้นตามเดิม เพื่อความเป็นระเบียบ
ผล	pʰǒn	results	สถานการณ์ช่วงนี้เอื้อผลต่อเราไม่น้อยเลย
บ้าง	bâːŋ	some	นกมักจะมีสีขนแตกต่างกันออกไปตามชนิด บ้างก็งดงามสวยบาดตา บ้างก็มีสีมัวๆ เพื่อให้กลมกลืนกับธรรมชาติ
ใคร	kʰraj	who	ออกไปดูซิว่าใครมาหน้าบ้าน
แก่	kɛ̀ː	to; old	ประธานาธิบดีถูกบังคับให้มอบอำนาจในการปกครองแก่คณะทหาร
กลายเป็น	klaːj pen	become	น้ำกลายเป็นน้ำแข็งที่ศูนย์องศาเซลเซียส
หลัง	lǎŋ	after; back	มีคนพูดซุบซิบกันอยู่หลังหน้าต่าง
จัด	tɕàt	ajust; arrange; fix	คุณได้มาทำงานที่นี่จัดได้ว่าเป็นคนโชคดีมาก
ใช่	tɕʰâj	correct	พันธกิจของนักเขียนมีมากมาย แม้ไม่ใช่สิ่งยิ่งใหญ่ แต่จะส่งผลที่ยิ่งใหญ่
เลือก	lɯ̂ːak	select	การเลือกตั้งแบบแบ่งเขตเรียงเบอร์ที่เปิดโอกาสให้ผู้เลือกตั้งสามารถเลือกผู้สมัครเป็นรายบุคคลจากพรรคต่างๆ กัน
เธอ	tʰɤː	her	ครูบอกให้เธอทำการบ้านมาส่ง ทำไมเธอจึงไม่ทำ
ลูก	lûːk	child	ฝรั่ง 1 ก.ก. จะมีประมาณ 3 ลูก
คง	kʰoŋ	probably	ในฐานะของผู้บริโภคเขาคงอยากได้ของดีที่สุดในราคาที่ถูกที่สุดล่ะมั้ง
ที่มา	tʰîː maː	origin; source; cause	ศาสนาธรรมเป็นแห่งที่มาสำคัญของสัจธรรม
ตัวเอง	tuːa ʔeːŋ	itself	เขาไม่เชื่อหูว่าตัวเองถูกรางวัลที่ 1
ทหาร	tʰá hǎːn	soldier	ชาวอังกฤษกำลังถกเถียงกันว่า ทหารควรเป็นอธิบดีตำรวจได้หรือไม่
ต้องการ	tɔ̂ŋ kaːn	want	การที่ผู้โดยสารยอมจ่ายเงินค่าโดยสารเพิ่มขึ้นเป็นเพราะพวกเขาต้องการความสะดวกสบายในการเดินทาง
แสดง	sà dɛːŋ	show	ความหิวมีส่วนให้มนุษย์แสดงพฤติกรรมได้กว้างขวางมาก
ทั้งหมด	tʰáŋ mòt	total	งานทั้งหมดที่ทำจะต้องส่งภายในวันพรุ่งนี้
ง่าย	ŋâːj	simple; easy	ผมจะกล่าวถึงพี ซี ยู สมมติขนาด 8 บิต เพื่อให้เข้าใจง่าย
ระหว่าง	ráʔ wàːŋ	between	วิชาจิตวิทยาศึกษาเกี่ยวกับความสัมพันธ์ระหว่างบุคคลกับบุคคล และบุคคลกับโครงสร้างของสังคม
พูด	pʰûːt	say	ฉันพูดกับเขาไม่รู้กี่ครั้งต่อกี่ครั้งแล้ว เขาก็ไม่ฟัง
ใจ	tɕaj	mind	ใจของเขาเต้นแรงหลังจากได้ยินข่าวร้ายจากทางบ้าน
อาหาร	ʔaː hǎːn	food	เพื่อนในวงสนทนาเริ่มลดอาหารบางอย่างลง เช่น เนื้อสัตว์ และอาหารกระป๋อง
ใด	daj	any	ห้ามแตะต้องสิ่งของใดในห้องนี้
กลุ่ม	klùm	group	กลุ่มแต่ละกลุ่มจะมีพฤติกรรมร่วมในแบบฉบับเฉพาะของตนเอง
ช่วง	tɕʰûːaŋ	phase	คุณจะเข้ามาบริษัทช่วงเช้าหรือบ่าย
พอ	pʰɔː	enough	เม็ดเงินคงคลังยังมีไม่พอที่จะใช้หนี้ระยะสั้น
อยาก	jàːk	want	เธออยากรู้ว่าเขามีใครซุกซ่อนอยู่ในหัวใจของเขาหรือไม่
เงิน	ŋɤn	money	บางคนชอบเครื่องประดับที่ทำจากเงิน
รวม	ruːam	including	รวมกันเราอยู่ แยกกันเราตาย
หน้า	nâː	page; front	ในหน้าฝนมีคนเป็นไข้หวัดกันมาก
เขียน	kʰǐːan	write	อย่าให้เขาเขียนเลย สงสารคนอ่าน
สี	sǐː	color	พ่อกำลังสีข้าวอยู่ที่โรงสี
ฉัน	tɕʰǎn	I (mostly female)	เธอจะเข้าๆ ออกๆ ห้องนี้ห้องโน้นอีกนานไหม ฉันเวียนหัวจะตายอยู่แล้ว
ชาย	tɕʰaːj	man	ชุดที่ชายกระโปรงยาวลากพื้น ผู้สวมใส่ต้องระวังไม่ให้สะดุดหกล้ม
ดัง	daŋ	as; loud	นักร้องคนนี้มีชื่อเสียงดังไปทั่วประเทศไทย
โอกาส	ʔoː kàːt	chance	ในสังคมไทยการรับราชการย่อมมีโอกาสได้ชื่อเสียงง่ายกว่าการเป็นชาวนา  หรือกรรมก
เสมอ	sà mɤ̌ː	always	เขาสองคนเสมอกันในเรื่องความหล่อ แต่ฐานะต่างกันราวฟ้ากับดิน
